"","Location","Time","Effect_value","CO_2","CO_","SO_x","NO_x","ghg","voc"
"1","AUS",2008,77.305,382.997727,3.226089,2.512359,0.106659,538.590714,1.198514
"2","AUS",2009,74.371,389.258214,3.156706,2.597916,0.103744,541.475792,1.210964
"3","AUS",2010,72.271,391.815827,2.993122,2.378108,0.10623,536.893738,1.195317
"4","AUS",2011,71.617,389.852443,2.940926,2.507008,0.102561,538.663878,1.206222
"5","AUS",2012,69.955,390.455808,2.906313,2.518091,0.107268,541.89974,1.214663
"6","AUS",2013,68.95,383.54313,2.842224,2.414181,0.108393,532.267335,1.227379
"7","AUS",2014,69.427,373.869885,2.772519,2.499707,0.107624,526.71178,1.254081
"8","AUS",2015,69.773,380.447074,2.721182,2.384848,0.106816,534.936017,1.282875
"9","AUS",2016,67.036,390.423287,2.657939,2.46566,0.107871,543.976812,1.257956
"10","AUS",2017,66.038,392.820131,2.801087,2.287733,0.109207,550.874868,1.302548
"11","AUS",2018,68.245,391.410534,2.568472,2.083047,0.11089,552.484025,1.262473
"12","AUS",2019,70.732,389.399485,2.398667,2.152252,0.107602,546.200224,1.175369
"13","CAN",2008,134.557,539.962702,6.638479,1.660104,0.062384,739.063152,2.080704
"14","CAN",2009,124.194,512.588399,6.308341,1.396741,0.057971,697.734945,1.923616
"15","CAN",2010,115.786,526.287546,6.083144,1.288007,0.05772,709.654061,1.881422
"16","CAN",2011,109.261,538.737917,5.687282,1.205635,0.055575,720.820931,1.74562
"17","CAN",2012,104.514,537.319507,5.419132,1.200601,0.051886,725.587102,1.75374
"18","CAN",2013,100.279,546.804185,5.375684,1.193801,0.050036,732.162302,1.786942
"19","CAN",2014,98.181,551.865869,5.285976,1.153102,0.048222,729.599783,1.805468
"20","CAN",2015,96.955,549.060338,5.187515,1.074699,0.045971,732.536872,1.721318
"21","CAN",2016,98.277,548.250486,5.095864,1.052445,0.043856,715.095857,1.612902
"22","CAN",2017,99.559,558.726088,5.154677,0.958499,0.04474,725.015647,1.628904
"23","CAN",2018,102.273,570.016412,5.14186,0.81421,0.04459,740.00627,1.673825
"24","CAN",2019,100.683,556.779803,5.092643,0.714685,0.043707,738.283446,1.643238
"25","FRA",2008,276.776,349.331244,4.199088,0.346813,0.019761,530.722796,1.280745
"26","FRA",2009,278.783,336.203512,3.745221,0.292834,0.018454,508.213897,1.208014
"27","FRA",2010,275.995,340.052059,4.138956,0.269687,0.017835,512.753492,1.218547
"28","FRA",2011,269.655,326.966868,3.436657,0.222418,0.016896,488.75345,1.148419
"29","FRA",2012,259.768,330.813375,3.146793,0.219911,0.016467,490.256229,1.099323
"30","FRA",2013,242.999,331.127813,3.197185,0.202394,0.016049,491.335786,1.091981
"31","FRA",2014,224.136,298.99726,2.679667,0.159167,0.014803,461.18949,1.073799
"32","FRA",2015,216.93,304.521188,2.64125,0.15233,0.014446,464.491268,1.046902
"33","FRA",2016,201.588,307.168433,2.670143,0.136678,0.013654,466.376978,1.023964
"34","FRA",2017,197.825,311.212725,2.618923,0.131537,0.013138,469.718625,1.011838
"35","FRA",2018,200.002,300.23205,2.497714,0.122926,0.012251,450.787078,0.989429
"36","FRA",2019,203.434,293.739197,2.45663,0.100255,0.01167,441.488013,0.97295
"37","DEU",2008,434.32,773.893186,3.747875,0.450457,0.018614,968.93503,1.359182
"38","DEU",2009,445.242,720.182159,3.206982,0.392476,0.017496,902.74206,1.245125
"39","DEU",2010,446.828,758.848376,3.513072,0.402783,0.017672,935.768364,1.361502
"40","DEU",2011,432.397,731.241595,3.429298,0.386719,0.017682,911.243774,1.272485
"41","DEU",2012,412.479,745.141593,3.175108,0.36835,0.017542,916.901017,1.256666
"42","DEU",2013,390.573,763.651811,3.133565,0.356698,0.017484,933.987361,1.21232
"43","DEU",2014,359.643,723.111731,2.964683,0.335261,0.016855,894.464541,1.173685
"44","DEU",2015,348.94,729.684402,3.068674,0.333768,0.016434,897.953671,1.14729
"45","DEU",2016,330.948,734.487154,2.946376,0.309311,0.015966,901.44203,1.140885
"46","DEU",2017,319.86,718.794174,2.961383,0.300803,0.01529,885.729469,1.145435
"47","DEU",2018,320.436,694.540151,2.852275,0.289478,0.014227,850.541987,1.098803
"48","DEU",2019,324.287,645.403512,2.752844,0.259468,0.013304,799.733988,1.072151
"49","ITA",2008,512.165,428.854473,3.51026,0.293955,0.017869,561.556792,1.263663
"50","ITA",2009,505.906,383.717096,3.112146,0.241509,0.016306,506.541126,1.183116
"51","ITA",2010,491.437,391.99233,3.073075,0.22208,0.015729,517.804064,1.116059
"52","ITA",2011,486.394,384.107414,2.432598,0.199689,0.015036,505.141145,1.024962
"53","ITA",2012,477.564,366.677218,2.696829,0.179554,0.014164,485.879735,1.031604
"54","ITA",2013,458.475,337.575729,2.501757,0.148557,0.012947,450.434412,0.996476
"55","ITA",2014,442.557,319.155267,2.255625,0.131896,0.012557,429.340842,0.923957
"56","ITA",2015,441.97,329.662166,2.266319,0.125935,0.011942,441.759073,0.896905
"57","ITA",2016,406.585,325.657076,2.191196,0.120055,0.011714,439.27437,0.880435
"58","ITA",2017,391.078,321.481224,2.257648,0.11672,0.011026,433.482097,0.920951
"59","ITA",2018,399.27,317.125522,2.049231,0.109304,0.011057,429.624382,0.894224
"60","ITA",2019,407.807,309.30931,2.060156,0.104732,0.010756,418.352219,0.887576
"61","JPN",2008,228.767,1130.286075,2.758477,0.86017,0.012852,1319.987889,1.165183
"62","JPN",2009,227.198,1077.076247,2.662461,0.802588,0.012174,1247.885883,1.066521
"63","JPN",2010,231.312,1132.921841,3.29568,0.772106,0.012198,1301.405899,1.06969
"64","JPN",2011,241.746,1188.795617,2.72619,0.727927,0.011725,1352.174894,1.014911
"65","JPN",2012,254.306,1228.699422,2.806348,0.724123,0.011385,1394.952483,0.97879
"66","JPN",2013,268.981,1240.566246,2.721592,0.715403,0.010941,1406.811175,0.975329
"67","JPN",2014,280.786,1190.746554,2.621274,0.706975,0.010525,1357.949766,0.942753
"68","JPN",2015,288.502,1152.409108,2.719837,0.667041,0.010086,1319.410641,0.931707
"69","JPN",2016,294.61,1138.899429,3.206025,0.632957,0.010889,1302.713833,0.938009
"70","JPN",2017,297.506,1124.405041,3.343667,0.592963,0.010226,1289.434117,0.922262
"71","JPN",2018,306.401,1084.935314,3.24226,0.587262,0.009938,1245.542084,0.906606
"72","JPN",2019,313.08,1048.315279,3.176756,0.579267,0.009652,1210.15962,0.881675
"73","KOR",2008,308.922,488.844473,0.69613,0.41798,0.021301,593.99122,0.826545
"74","KOR",2009,306.344,502.089454,0.810246,0.387727,0.020567,598.00131,0.817317
"75","KOR",2010,308.663,550.915653,0.759624,0.401741,0.021412,656.04882,0.830267
"76","KOR",2011,315.264,573.760776,0.710284,0.433959,0.020827,684.7034,0.846987
"77","KOR",2012,330.184,575.466327,0.697054,0.417645,0.021415,688.03533,0.883788
"78","KOR",2013,342.12,574.551419,0.689817,0.40466,0.021623,697.3088,0.885695
"79","KOR",2014,352.346,562.67858,0.587995,0.343161,0.022378,692.10073,0.877606
"80","KOR",2015,361.586,582.047107,0.714939,0.352213,0.022637,692.57595,0.96087
"81","KOR",2016,366.602,588.773636,0.718277,0.358873,0.024316,693.61245,0.973415
"82","KOR",2017,384.056,599.828358,0.740078,0.315453,0.023109,710.74339,0.996448
"83","KOR",2018,401.362,605.486609,0.733444,0.300904,0.022292,727.04517,0.98486
"84","KOR",2019,426.671,587.203691,0.67915,0.272783,0.020964,701.37042,0.970601
"85","TUR",2008,489.893,262.354961,3.58207,2.5589,0.016034,387.867898,1.085368
"86","TUR",2009,527.548,261.267158,3.570031,2.66299,0.014841,395.127314,1.093734
"87","TUR",2010,541.594,267.833992,3.449896,2.556584,0.013652,398.675649,1.103684
"88","TUR",2011,541.574,287.191198,3.021275,2.622614,0.012861,428.492478,1.077136
"89","TUR",2012,538.857,298.42777,3.230728,2.734406,0.012404,448.005527,1.135706
"90","TUR",2013,544.616,285.178612,2.400385,1.955133,0.011387,440.048694,1.07357
"91","TUR",2014,549.376,307.171546,2.272651,2.150808,0.011047,459.365743,1.067431
"92","TUR",2015,543.182,318.973757,2.517258,1.941931,0.010953,474.469912,1.10969
"93","TUR",2016,528.04,338.868963,2.317447,2.246867,0.010971,500.752411,1.087168
"94","TUR",2017,511.046,378.628201,2.144552,2.354337,0.010683,528.311867,1.113991
"95","TUR",2018,500.738,374.701858,1.637499,2.518223,0.010592,524.038913,1.092354
"96","TUR",2019,499.227,366.422887,1.745223,2.524762,0.010772,508.078172,1.118615
"97","GBR",2008,321.314,507.897104,2.554896,0.543773,0.02414,651.364742,1.068887
"98","GBR",2009,303.083,460.083887,2.02733,0.446572,0.020877,595.065647,0.954552
"99","GBR",2010,289.424,476.830942,1.914122,0.454622,0.020268,609.398602,0.91578
"100","GBR",2011,274.389,439.235531,1.740975,0.42682,0.018636,564.263397,0.886484
"101","GBR",2012,259.569,461.492965,1.687273,0.460773,0.018823,580.528033,0.869245
"102","GBR",2013,243.759,447.019328,1.673916,0.397679,0.017655,567.038736,0.841127
"103","GBR",2014,226.209,408.67235,1.598948,0.323576,0.016325,526.914786,0.826576
"104","GBR",2015,218.808,394.018994,1.546166,0.260928,0.015628,509.26613,0.826433
"105","GBR",2016,213.988,374.900339,1.412435,0.190486,0.014122,484.244952,0.811678
"106","GBR",2017,212.957,359.712378,1.409102,0.186041,0.013508,473.113187,0.820704
"107","GBR",2018,216.576,353.752397,1.399817,0.172818,0.012806,464.307207,0.836873
"108","GBR",2019,214.122,339.248383,1.352094,0.155428,0.011884,448.389638,0.821504
"109","USA",2008,217.041,5512.44922,61.19515,9.302125,0.050158,7240.643548,13.528368
"110","USA",2009,201.432,5120.626218,54.933143,8.182259,0.046356,6787.264726,13.378082
"111","USA",2010,188.705,5352.04974,55.857149,6.951162,0.043259,7007.442261,13.597458
"112","USA",2011,181.527,5128.105384,55.393766,5.79066,0.041735,6845.087119,13.846608
"113","USA",2012,173.96,4902.93971,53.576297,4.520992,0.03958,6606.523764,13.590611
"114","USA",2013,167.357,5038.524675,51.758828,4.334222,0.037469,6784.494217,13.334615
"115","USA",2014,160.885,5046.564428,49.941359,4.175849,0.035532,6843.355822,13.078619
"116","USA",2015,155.408,4928.610664,48.10747,3.514112,0.032705,6689.006127,12.577029
"117","USA",2016,146.827,4838.476243,43.924212,2.841912,0.028599,6537.871032,11.786691
"118","USA",2017,140.084,4761.301727,42.745097,2.181042,0.026809,6500.975386,11.437006
"119","USA",2018,142.616,4909.996024,43.022716,2.117697,0.025073,6687.512573,11.735196
"120","USA",2019,145.26,4744.44922,41.198611,1.761562,0.023496,6571.725746,10.980597
